timestamp,open,high,low,close,volume,sma5,ema5,sma200,sma20,rsi14
2015-12-10,224.71,228.49,223.64,227.07,2071692,227.96400000000003,227.65522677413114,234.42077499999985,224.0269999999999,57.639199295250634
2015-12-11,225.24,225.75,216.64,217.02,3268726,225.292,224.1101511827541,234.48917499999985,224.23099999999994,42.837839131013034
2015-12-14,217.51,220.92,214.87,218.58,2831518,222.78199999999998,222.2667674551694,234.5954499999999,224.80049999999997,45.19062164463169
2015-12-15,221.82,222.22,218.0,221.09,2244424,221.65599999999995,221.8745116367796,234.70309999999986,225.13949999999994,48.83936156165244
2015-12-16,222.1,234.88,220.73,234.51,5104341,223.65399999999994,226.0863410911864,234.86347499999988,226.16499999999996,63.01581420363452
2015-12-17,233.94,237.76,229.8149,233.39,3298638,224.91799999999998,228.52089406079094,235.0272749999999,226.781,61.48455799888112
2015-12-18,232.89,235.9,229.29,230.46,3014170,227.606,229.16726270719397,235.2101749999999,227.214,57.545062092025276
2015-12-21,231.69,235.83,231.08,232.56,1953174,230.402,230.29817513812932,235.41857499999992,227.8415,59.54573139982253
2015-12-22,234.99,236.55,229.63,229.95,1961495,232.17400000000004,230.18211675875287,235.6167249999999,228.45149999999998,56.01276117296939
2015-12-23,232.18,233.45,228.13,229.7,1554979,231.21200000000005,230.0214111725019,235.7965249999999,229.02399999999997,55.67203100016535
2015-12-24,230.56,231.88,228.28,230.57,710277,230.64800000000005,230.20427411500125,235.99402499999988,229.07049999999995,56.660073685858016
2015-12-28,231.49,231.98,225.54,228.95,1901304,230.34600000000006,229.78618274333417,236.19537499999987,228.93749999999994,54.235892316816724
2015-12-29,230.06,237.72,229.547,237.19,2406290,231.27200000000008,232.25412182888945,236.4028249999999,229.28399999999993,62.92485144825691
2015-12-30,236.6,243.63400000000001,235.6707,238.09,3697921,232.90000000000003,234.19941455259297,236.61962499999987,229.32899999999995,63.73475508954874
2015-12-31,238.51,243.45,238.37,240.01,2715038,234.96200000000005,236.1362763683953,236.8161249999999,229.72999999999996,65.46783148017235
2016-01-04,230.72,231.38,219.0,223.41,6827146,233.53000000000006,231.89418424559688,236.9549249999999,229.26499999999996,45.30778706009143
2016-01-05,226.36,226.89,220.0,223.43,3186752,232.42600000000007,229.07278949706458,237.08167499999988,228.91749999999996,45.329630555144426
2016-01-06,220.0,220.05,215.98,219.04,3779128,228.79600000000005,225.72852633137637,237.1787249999999,228.31299999999996,41.41925784481114
2016-01-07,214.19,218.44,213.67,215.65,3554251,224.30800000000008,222.36901755425092,237.2483749999999,227.75949999999995,38.6467736515447
2016-01-08,217.86,220.44,210.77,211.0,3628058,218.50600000000009,218.57934503616727,237.33187499999988,227.0834999999999,35.1692666252726
2016-01-11,214.01,214.45,203.0,207.85,4091422,215.39400000000006,215.0028966907782,237.4190999999999,226.12249999999995,33.002819467294856
