timestamp,open,high,low,close,volume
2015-01-02,131.07,131.84,129.09,129.95,4293748
2015-01-05,129.66,129.9199,128.61,129.05,5024782
2015-01-06,129.05,129.62,126.18,127.53,4992189
2015-01-07,128.74,129.97,128.72,129.51,3573197
2015-01-08,130.6,131.985,130.4,131.8,4498923
2015-01-09,131.59,132.26,130.93,131.54,3038677
2015-01-12,132.24,132.26,129.95,130.87,3552603
2015-01-13,132.0,133.91,130.17,131.17,3473913
2015-01-14,129.03,131.29,128.95,130.38,3554838
2015-01-15,130.25,131.83,129.7,130.14,3901990
2015-01-16,129.75,131.02,129.11,130.78,4425638
2015-01-20,131.45,132.0,129.4501,131.22,3143386
2015-01-21,130.87,132.87,130.5701,132.41,2898621
2015-01-22,133.38,136.21,133.05,135.64,4971173
2015-01-23,135.57,135.78,134.6,134.62,3827446
2015-01-26,135.0,135.25,133.53,134.07,3900544
2015-01-27,132.4,132.99,130.74,132.48,5243868
2015-01-28,136.3,141.885,135.92,139.64,14353352
2015-01-29,139.69,148.25,139.63,147.78,15159340
2015-01-30,146.22,146.85,144.37,145.37,11271047
2015-02-02,143.72,146.59,143.05,146.26,6790894
2015-02-03,146.37,148.0,146.18,147.34,5978190
2015-02-04,145.97,148.39,145.93,147.22,4765618
2015-02-05,147.26,148.87,146.46,148.6,4252565
2015-02-06,148.62,148.89,147.7,148.0,4398747
2015-02-09,146.16,148.16,145.63,147.58,4203129
2015-02-10,148.2,148.71,147.503,148.04,4034851
2015-02-11,147.51,148.38,147.09,147.92,3271169
2015-02-12,148.26,148.57,147.68,148.09,2998941
2015-02-13,147.98,149.8401,147.64,149.73,3418587
2015-02-17,148.72,149.96,148.52,149.92,3622299
2015-02-18,149.7,151.62,149.37,151.17,3722107
2015-02-19,151.05,154.24,151.0,153.75,4383714
2015-02-20,153.8,158.83,153.8,158.31,9362988
2015-02-23,155.0,155.92,153.36,154.74,8625770
2015-02-24,153.5,154.78,153.21,154.38,4391701
2015-02-25,154.305,154.74,152.14,153.01,4800528
2015-02-26,152.31,152.38,150.81,151.73,5149021
2015-02-27,151.0,151.89,150.45,150.85,4330527
2015-03-02,150.75,154.15,150.75,153.8,4622753
2015-03-03,154.71,156.91,154.17,155.57,8655718
