timestamp,open,high,low,close,volume,sma5,rsi14
2015-01-30,146.22,146.85,144.37,145.37,11271047,139.86799999999997,71.65733108771033
2015-02-02,143.72,146.59,143.05,146.26,6790894,142.30599999999995,72.74524205021726
2015-02-03,146.37,148.0,146.18,147.34,5978190,145.27799999999996,74.04708097682892
2015-02-04,145.97,148.39,145.93,147.22,4765618,146.79399999999995,73.62626726653238
2015-02-05,147.26,148.87,146.46,148.6,4252565,146.95799999999997,75.36045886340335
2015-02-06,148.62,148.89,147.7,148.0,4398747,147.48399999999998,73.10955742396266
2015-02-09,146.16,148.16,145.63,147.58,4203129,147.748,71.49965478219842
2015-02-10,148.2,148.71,147.503,148.04,4034851,147.88799999999998,72.22114917198547
2015-02-11,147.51,148.38,147.09,147.92,3271169,148.02799999999996,71.71114049473086
2015-02-12,148.26,148.57,147.68,148.09,2998941,147.92599999999996,72.0126680648912
2015-02-13,147.98,149.8401,147.64,149.73,3418587,148.27199999999996,74.8029084089798
2015-02-17,148.72,149.96,148.52,149.92,3622299,148.73999999999995,75.11247653208771
2015-02-18,149.7,151.62,149.37,151.17,3722107,149.36599999999993,77.10535505848767
2015-02-19,151.05,154.24,151.0,153.75,4383714,150.53199999999995,80.56463847495723
2015-02-20,153.8,158.83,153.8,158.31,9362988,152.57599999999996,84.90569292441262
2015-02-23,155.0,155.92,153.36,154.74,8625770,153.57799999999995,71.45034331807626
2015-02-24,153.5,154.78,153.21,154.38,4391701,154.46999999999997,70.24149751860622
2015-02-25,154.305,154.74,152.14,153.01,4800528,154.83799999999997,65.6869186650801
2015-02-26,152.31,152.38,150.81,151.73,5149021,154.43399999999997,61.66383486218304
2015-02-27,151.0,151.89,150.45,150.85,4330527,152.94199999999995,58.98893145132436
2015-03-02,150.75,154.15,150.75,153.8,4622753,152.75399999999996,64.54180988771444
2015-03-03,154.71,156.91,154.17,155.57,8655718,152.99199999999993,67.39443526487162
2015-03-04,154.62,155.22,154.0,154.35,4476113,153.25999999999993,63.596623104895954
2015-03-05,154.86,155.98,154.31,154.47,3327492,153.80799999999994,63.81263244617183
2015-03-06,153.92,155.03,152.81,153.12,3556216,154.26199999999994,59.53282198637769
2015-03-09,153.3,155.61,153.15,154.75,3432956,154.45199999999994,62.7788081874375
2015-03-10,153.3,154.13,152.42,152.42,3839572,153.82199999999995,55.878881817196046
2015-03-11,152.51,152.6876,151.17,151.17,3392735,153.18599999999992,52.54246278176247
2015-03-12,151.28,152.92,151.28,152.04,2965067,152.6999999999999,54.57537289870443
2015-03-13,151.89,152.39,149.79,151.57,3569516,152.3899999999999,53.24833805463402
2015-03-16,152.39,154.19,152.27,153.67,2742676,152.1739999999999,58.14539326479085
2015-03-17,152.88,155.0,152.73,154.51,2925179,152.5919999999999,59.952397389596555
2015-03-18,154.04,155.99,152.11,155.73,4053599,153.5039999999999,62.48565018223103
2015-03-19,154.91,155.33,153.66,154.11,2538976,153.91799999999992,57.30226302539547
2015-03-20,155.04,155.49,154.48,154.5,4464270,154.5039999999999,58.20120445962474
2015-03-23,154.98,154.98,152.81,152.81,3029523,154.3319999999999,52.99448696926358
2015-03-24,151.96,152.62,151.35,151.65,3319174,153.7599999999999,49.70741517518226
2015-03-25,151.4,152.04,148.13,148.23,3747634,152.2599999999999,41.528785747555226
2015-03-26,147.83,148.8499,145.96,148.17,3626966,151.0719999999999,41.400088148689285
2015-03-27,148.59,149.31,147.49,148.85,2599952,149.9419999999999,43.53577194217407
2015-03-30,150.08,153.17,149.98,152.7,3737257,149.9199999999999,53.80178254062863
2015-03-31,152.23,152.25,149.94,150.08,2975297,149.6059999999999,47.47582749318582
2015-04-01,149.97,150.02,146.82,148.64,4167631,149.6879999999999,44.38675089958388
2015-04-02,149.14,150.5,148.312,149.28,2934194,149.9099999999999,46.06639680089521
2015-04-06,148.15,151.45,148.0,150.93,3371457,150.3259999999999,50.239089816842814
2015-04-07,151.27,153.5,151.14,152.32,4299482,150.24999999999991,53.50271400331479
2015-04-08,152.19,153.5,152.19,153.36,2763398,150.9059999999999,55.83658934561813
2015-04-09,152.62,153.67,151.6264,153.42,3966515,151.8619999999999,55.97388695967523
2015-04-10,153.55,154.9633,153.25,154.38,3182905,152.8819999999999,58.21236502370177
2015-04-13,153.79,155.5,152.961,153.24,3034047,153.3439999999999,54.65836492084077
2015-04-14,152.93,153.54,151.59,153.21,2845971,153.52199999999993,54.56395684730596
2015-04-15,154.37,154.37,152.21,152.43,3687428,153.33599999999996,52.04683158918366
2015-04-16,151.66,152.53,151.05,151.97,2559883,153.04599999999996,50.56533792951408
2015-04-17,150.88,151.43,149.44,149.6,4664133,152.08999999999997,43.66851437041269
2015-04-20,151.06,153.55,151.01,152.67,3169131,151.97599999999994,52.6733654834156
2015-04-21,153.51,154.09,152.0,153.33,3772879,151.99999999999994,54.362399429062805
2015-04-22,152.36,153.0,148.85,151.19,8468924,151.75199999999995,48.3384662787453
2015-04-23,150.83,150.83,149.73,149.87,4079766,151.33199999999994,45.02430680159453
2015-04-24,149.54,149.86,148.02,148.4,4889228,151.09199999999993,41.603427621998115
2015-04-27,148.59,149.0,147.71,147.8,4599952,150.11799999999997,40.25889558013027
2015-04-28,147.9,148.37,146.01,147.51,4352892,148.95399999999995,39.592870680121344
2015-04-29,147.07,147.4548,145.9,146.15,4761676,147.94599999999997,36.53990698005263
2015-04-30,145.25,145.94,142.75,143.34,4925132,146.63999999999996,31.188676151485893
2015-05-01,144.41,145.07,143.84,144.67,3556817,145.89399999999995,35.968479884334755
2015-05-04,143.85,144.79,143.18,144.02,8977485,145.13799999999998,34.69988040768031
2015-05-05,143.76,144.695,142.27,142.91,3669996,144.21799999999996,32.58624046461712
2015-05-06,143.01,143.1499,140.43,141.04,5313279,143.19599999999997,29.343459230369774
2015-05-07,140.56,142.18,140.48,141.49,4868622,142.82599999999996,31.11982830874284
2015-05-08,143.0,145.94,142.98,145.46,7067828,142.98399999999998,44.400360663402054
2015-05-11,145.55,146.79,145.13,145.89,3969023,143.35799999999998,45.623277496182084
2015-05-12,144.94,146.08,144.01,145.43,3543150,143.86199999999997,44.4957743129799
2015-05-13,145.41,146.529,145.1006,145.62,2680190,144.77799999999996,45.099291575477444
2015-05-14,146.88,148.25,146.6501,147.96,3495382,146.07199999999997,52.0188898311625
2015-05-15,148.05,148.3,146.34,146.88,3368655,146.35599999999997,48.952214121313936
2015-05-18,146.88,147.24,146.3,146.71,2153183,146.51999999999998,48.46785175301287
2015-05-19,147.18,147.77,146.73,147.05,2366375,146.84399999999997,49.543159526656744
2015-05-20,147.14,147.34,146.1,146.42,2103999,147.00399999999996,47.56269394716422
2015-05-21,146.56,147.71,146.1,147.35,2676417,146.88199999999995,50.69593229226894
2015-05-22,147.26,147.27,144.8,144.81,3877994,146.46799999999996,43.11805342573114
2015-05-26,144.34,144.43,142.16,142.8,3470284,145.68599999999998,38.24604430540843
2015-05-27,143.42,143.7497,142.58,143.0,2836746,144.87599999999998,38.98480800942308
2015-05-28,142.51,145.29,141.58,142.33,3103154,144.058,37.371879214778254
2015-05-29,142.26,142.26,140.32,140.52,6199095,142.69199999999998,33.35681226266449
2015-06-01,141.45,142.05,140.27,141.25,3897020,141.97999999999996,36.32796876544102
2015-06-02,141.44,144.46,140.63,143.25,4986500,142.07,43.72981302744438
2015-06-03,143.78,145.059,142.89,143.81,3755788,142.23199999999997,45.63549061433727
2015-06-04,143.22,143.23,140.95,141.19,3239507,142.00399999999996,38.98352334163613
