timestamp,open,high,low,close,volume,rsi5,sma5,sma100,sma10,ema5
2015-06-23,212.14,212.44,211.57,212.04,68476797,59.645025250333966,211.62199999999984,209.40989399999995,211.00599999999994,211.62199999999984
2015-06-24,211.72,212.17,210.47,210.5,92307318,43.826946961698724,211.60399999999987,209.52039399999995,210.96099999999996,211.2479999999999
2015-06-25,211.1,211.25,209.77,209.86,97107361,38.52010427142883,211.01999999999984,209.59979399999997,210.78399999999996,210.78533333333328
2015-06-26,210.29,210.58,209.16,209.82,104174840,38.15912403677091,210.82199999999983,209.64959399999995,210.76499999999996,210.46355555555553
2015-06-29,208.045,209.828,205.33,205.42,202621332,16.673987053322136,209.52799999999988,209.66319399999992,210.39599999999996,208.78237037037036
2015-06-30,207.26,207.32,205.28,205.85,182925106,22.036367098865824,208.28999999999988,209.66049399999991,209.95599999999996,207.8049135802469
2015-07-01,207.73,208.03,206.56,207.5,135979873,40.42555321289676,207.68999999999988,209.67999399999994,209.64699999999993,207.7032757201646
2015-07-02,208.07,208.27,206.81,207.31,104373652,39.09813978944713,207.17999999999984,209.70679399999995,209.0999999999999,207.57218381344308
2015-07-06,205.77,207.65,205.53,206.72,117975369,34.67821037389828,206.55999999999986,209.70589399999994,208.6909999999999,207.28812254229538
2015-07-07,206.96,208.17,204.11,208.02,173820249,50.1876913107784,207.07999999999984,209.71679399999994,208.30399999999992,207.5320816948636
2015-07-08,205.7748,206.7645,204.25,204.53,164020059,27.932221870158315,206.81599999999986,209.67289399999993,207.55299999999994,206.53138779657573
2015-07-09,207.04,207.35,204.77,204.9,144113107,31.932286545788926,206.29599999999988,209.62409399999996,206.99299999999994,205.98759186438383
2015-07-10,207.29,207.98,204.9517,207.48,129456890,54.125673198968435,206.32999999999987,209.59779399999996,206.75499999999994,206.48506124292254
2015-07-13,208.99,209.9,208.94,209.77,106069400,66.3122187327314,206.93999999999988,209.59419399999996,206.74999999999991,207.58004082861504
2015-07-14,209.72,211.05,209.65,210.68,81709575,70.23930070095514,207.4719999999999,209.60119399999996,207.2759999999999,208.61336055241003
2015-07-15,210.73,211.28,210.04,210.61,97914141,69.46072024008186,208.68799999999987,209.59490399999996,207.7519999999999,209.27890703494003
2015-07-16,211.87,212.3,211.58,212.3,106683266,77.11590584629792,210.16799999999984,209.60581399999995,208.2319999999999,210.28593802329337
2015-07-17,212.29,212.55,211.8,212.48,89029973,77.85494839845326,211.16799999999984,209.61251399999995,208.74899999999994,211.0172920155289
2015-07-20,212.75,213.18,212.21,212.59,70446821,78.38810975598827,211.73199999999983,209.62211399999993,209.33599999999996,211.5415280103526
2015-07-21,212.43,212.74,211.39,211.75,77965048,63.739751626723354,211.94599999999983,209.6258139999999,209.70899999999997,211.6110186735684
2015-07-22,210.93,211.77,210.89,211.37,88667920,57.64806168509125,212.0979999999998,209.63291399999991,210.39299999999994,211.53067911571227
2015-07-23,211.53,211.65,209.75,210.18,90509128,41.952979055885486,211.6739999999998,209.6148139999999,210.9209999999999,211.0804527438082
2015-07-24,210.3,210.37,207.6,208.0,117754979,25.841939873622096,210.7779999999998,209.5836139999999,210.9729999999999,210.0536351625388
2015-07-27,206.94,207.55,206.26,206.79,132361082,20.40518082405653,209.6179999999998,209.5492129999999,210.6749999999999,208.96575677502585
2015-07-28,207.79,209.5,206.8,209.33,123544845,48.71611715458257,209.1339999999998,209.53791299999995,210.5399999999999,209.08717118335056
2015-07-29,209.48,211.04,209.31,210.77,105791255,59.04047659032403,209.01399999999975,209.57061299999995,210.5559999999999,209.64811412223372
2015-07-30,210.16,211.02,209.42,210.82,91304374,59.39527066773226,209.14199999999974,209.59521299999994,210.4079999999999,210.0387427481558
2015-07-31,211.42,211.45,210.16,210.5,103266857,55.54611775537622,209.64199999999974,209.65041299999993,210.2099999999999,210.1924951654372
2015-08-03,210.46,210.53,208.65,209.79,113965728,47.08357108626275,210.24199999999973,209.70331299999995,209.9299999999999,210.05833011029148
