timestamp,open,high,low,close,volume,valid,sma
2019-03-05,112.25,112.39,111.23,111.7,19096767,N,-1.0
2019-03-04,113.02,113.25,110.8,112.26,25869305,N,-1.0
2019-03-01,112.89,113.02,111.665,112.53,23501169,N,-1.0
2019-02-28,112.04,112.88,111.73,112.03,29083934,N,-1.0
2019-02-27,111.69,112.36,110.88,112.17,21487062,Y,112.13799999999999
2019-02-26,111.26,113.24,111.17,112.36,21536733,Y,112.27000000000001
2019-02-25,111.76,112.18,111.26,111.59,23750599,Y,112.13600000000001
2019-02-22,110.05,111.2,109.82,110.97,27763218,Y,111.824
2019-02-21,106.9,109.48,106.87,109.41,29063231,Y,111.3
2019-02-20,107.86,107.94,106.29,107.15,21607671,Y,110.29599999999998
2019-02-19,107.79,108.66,107.78,108.17,18038460,Y,109.458
2019-02-15,107.91,108.3,107.3624,108.22,26606886,Y,108.78399999999999
2019-02-14,106.31,107.29,105.66,106.9,21784703,Y,107.97
2019-02-13,107.5,107.78,106.71,106.81,18394869,Y,107.45
2019-02-12,106.14,107.14,105.48,106.89,25056595,Y,107.398
2019-02-11,106.2,106.58,104.965,105.25,18914123,Y,106.814
2019-02-08,104.39,105.78,104.2603,105.67,21461093,Y,106.304
2019-02-07,105.185,105.59,104.29,105.27,29760697,Y,105.978
2019-02-06,107.0,107.0,105.53,106.03,20609759,Y,105.822
2019-02-05,106.06,107.27,105.96,107.22,27325365,Y,105.888
2019-02-04,102.87,105.8,102.77,105.74,31315282,Y,105.98600000000002
2019-02-01,103.775,104.0999,102.35,102.78,35535690,Y,105.40799999999999
2019-01-31,103.8,105.22,103.18,104.43,55636391,Y,105.24000000000001
2019-01-30,104.62,106.38,104.33,106.38,49471866,Y,105.30999999999999
2019-01-29,104.88,104.97,102.17,102.94,31490547,Y,104.454
2019-01-28,106.26,106.48,104.66,105.08,29476719,Y,104.322
2019-01-25,107.24,107.88,106.59,107.17,31218193,Y,105.2
2019-01-24,106.86,107.0,105.34,106.2,23164838,Y,105.554
2019-01-23,106.12,107.04,105.34,106.71,25874294,Y,105.62
2019-01-22,106.75,107.1,104.86,105.68,32371253,Y,106.16799999999998
2019-01-18,107.46,107.9,105.91,107.71,37427587,Y,106.694
2019-01-17,105.0,106.625,104.76,106.12,28393015,Y,106.48400000000001
2019-01-16,105.26,106.255,104.96,105.38,29853865,Y,106.31999999999998
2019-01-15,102.51,105.05,101.88,105.01,31587616,Y,105.97999999999999
2019-01-14,101.9,102.8716,101.26,102.05,28437079,Y,105.25399999999999
2019-01-11,103.19,103.44,101.64,102.8,28314202,Y,104.272
2019-01-10,103.22,103.75,102.38,103.6,30067556,Y,103.768
2019-01-09,103.86,104.88,103.2445,104.27,32280840,Y,103.546
2019-01-08,103.04,103.97,101.7134,102.8,31514415,Y,103.104
2019-01-07,101.64,103.2681,100.98,102.06,35656136,Y,103.106
2019-01-04,99.72,102.51,98.93,101.93,44060620,Y,102.93200000000002
2019-01-03,100.1,100.185,97.2,97.4,42578410,Y,101.69200000000001
2019-01-02,99.55,101.75,98.94,101.12,35329345,Y,101.06200000000001
2018-12-31,101.29,102.4,100.44,101.57,33173765,Y,100.816
2018-12-28,102.09,102.41,99.52,100.39,38169312,Y,100.482
2018-12-27,99.3,101.19,96.4,101.18,49498509,Y,100.33200000000001
2018-12-26,95.14,100.69,93.96,100.56,51634793,Y,100.964
2018-12-24,97.68,97.97,93.98,94.13,43935192,Y,99.566
2018-12-21,101.63,103.0,97.46,98.23,111242070,Y,98.898
2018-12-20,103.05,104.31,98.78,101.51,70334184,Y,99.122
2018-12-19,103.65,106.88,101.35,103.69,68198186,Y,99.624
2018-12-18,103.75,104.51,102.52,103.97,49319196,Y,100.306
2018-12-17,105.41,105.8,101.71,102.89,56957314,Y,102.05799999999999
2018-12-14,108.25,109.26,105.5,106.03,47043136,Y,103.61799999999998
2018-12-13,109.58,110.87,108.63,109.45,31333362,Y,105.20600000000002
2018-12-12,110.89,111.27,109.04,109.08,36183020,Y,106.28399999999999
2018-12-11,109.8,110.95,107.44,108.59,42381947,Y,107.208
2018-12-10,104.8,107.98,103.89,107.59,40801525,Y,108.148
2018-12-07,108.38,109.45,104.3,104.82,45044937,Y,107.90599999999999
2018-12-06,105.82,109.24,105.0,109.19,49107431,Y,107.854
2018-12-04,111.94,112.6373,108.2115,108.52,45196984,Y,107.742
2018-12-03,113.0,113.42,110.73,112.09,34732772,Y,108.44200000000001
2018-11-30,110.7,110.97,109.36,110.89,33665624,Y,109.102
2018-11-29,110.33,111.115,109.03,110.19,28123195,Y,110.17599999999997
2018-11-28,107.89,111.33,107.86,111.12,46788461,Y,110.56199999999998
2018-11-27,106.27,107.33,105.36,107.14,29124486,Y,110.28600000000002
2018-11-26,104.79,106.63,104.58,106.47,32336165,Y,109.16199999999999
2018-11-23,102.17,103.8099,102.0,103.07,13823099,Y,107.598
2018-11-21,103.6,104.43,102.24,103.11,28130621,Y,106.18199999999999
2018-11-20,101.8,102.97,99.3528,101.71,64052457,Y,104.3
2018-11-19,108.27,108.56,103.55,104.62,44773899,Y,103.796
2018-11-16,107.08,108.88,106.8,108.29,33502121,Y,104.16
2018-11-15,104.99,107.8,103.91,107.28,38505165,Y,105.002
2018-11-14,108.1,108.26,104.47,104.97,39495141,Y,105.374
2018-11-13,107.55,108.74,106.64,106.94,35374583,Y,106.42000000000003
2018-11-12,109.42,109.96,106.1,106.87,33621807,Y,106.86999999999998
2018-11-09,110.85,111.45,108.76,109.57,32039223,Y,107.126
2018-11-08,111.8,112.21,110.91,111.75,25644105,Y,108.01999999999998
2018-11-07,109.44,112.24,109.4,111.96,37901704,Y,109.418
2018-11-06,107.38,108.84,106.28,107.72,24340248,Y,109.574
2018-11-05,106.37,107.74,105.9,107.51,27922144,Y,109.702
2018-11-02,106.48,107.32,104.975,106.16,37680194,Y,109.01999999999998
2018-11-01,107.05,107.32,105.53,105.92,33384201,Y,107.854
