timestamp,open,high,low,close,volume,rsi14,sma100,sma10
2015-06-30,14.44,14.7344,14.31,14.6,548819,34.761017133304705,18.072150000000004,15.422
2015-07-01,14.69,14.86,14.538,14.75,287916,37.44325072920392,17.962050000000005,15.273
2015-07-02,14.78,14.8565,14.64,14.69,161378,36.79164735416779,17.853650000000005,15.107999999999999
2015-07-06,14.62,15.02,14.34,15.01,247324,42.53537414406542,17.743850000000005,14.950999999999999
2015-07-07,15.0,15.1847,14.632,15.05,209237,43.229813490086634,17.637050000000002,14.856
2015-07-08,14.98,15.38,14.825999999999999,15.29,202447,47.34165946812463,17.532650000000004,14.834999999999999
2015-07-09,15.35,15.53,15.07,15.1,308160,44.588290687501434,17.42405,14.838999999999999
2015-07-10,15.09,15.36,14.36,14.47,584489,36.92064819378157,17.31555,14.792999999999997
2015-07-13,14.5,15.18,14.4,15.07,664948,46.378182887977104,17.200650000000003,14.840999999999998
2015-07-14,15.0,15.1,14.815,14.88,278519,44.1222043839007,17.072050000000004,14.890999999999996
2015-07-15,14.88,14.88,14.62,14.68,341661,41.81636735671619,17.029850000000003,14.898999999999997
2015-07-16,14.79,14.96,14.67,14.7,210316,42.141993716675834,16.989850000000004,14.893999999999997
2015-07-17,14.69,14.825,14.59,14.59,180677,40.789864016868336,16.95145,14.883999999999997
2015-07-20,14.58,14.69,14.24,14.3,831932,37.38434689384207,16.911250000000003,14.812999999999999
2015-07-21,14.36,14.53,14.3,14.5,301227,41.04031696662776,16.867650000000005,14.758
2015-07-22,14.45,15.25,14.419,15.09,314346,50.26566451016852,16.836250000000003,14.738
2015-07-23,15.22,15.28,14.8501,14.87,262725,47.29406941338162,16.79335,14.715
2015-07-24,14.88,14.88,14.26,14.31,279914,40.698573943339994,16.74825,14.699000000000002
2015-07-27,14.29,14.75,14.06,14.16,179447,39.1246660932782,16.705550000000002,14.608
2015-07-28,14.17,14.45,13.88,14.38,237410,42.62902398247155,16.668650000000003,14.558000000000002
2015-07-29,14.38,15.2,14.38,14.99,194868,51.044198041905204,16.64365,14.589000000000002
2015-07-30,14.89,15.48,14.87,15.23,217543,53.90874215979026,16.615050000000004,14.642000000000001
2015-07-31,15.27,15.68,15.27,15.48,206621,56.74779238370692,16.590750000000003,14.731
2015-08-03,15.44,15.7,15.231,15.58,227244,57.865772866615025,16.573050000000002,14.859
2015-08-04,15.55,15.88,15.44,15.5,268445,56.6052312674651,16.548550000000002,14.959
2015-08-05,15.62,15.87,15.53,15.65,333140,58.43360002708183,16.530150000000003,15.015
2015-08-06,15.66,15.66,14.87,15.14,431947,50.62372455987384,16.506750000000004,15.042000000000002
2015-08-07,11.74,13.19,11.37,12.65,1442279,29.730724309413304,16.451250000000005,14.876000000000001
2015-08-10,12.47,12.94,12.24,12.565,660800,29.286382975700334,16.396900000000006,14.716500000000002
2015-08-11,12.55,13.325,12.4,12.63,471360,30.1461498083617,16.341200000000004,14.541500000000003
2015-08-12,12.55,13.08,12.3,12.74,388867,31.6604560872439,16.285400000000006,14.316500000000001
2015-08-13,12.77,12.95,12.395,12.45,365660,29.82480162458984,16.230300000000007,14.038500000000003
2015-08-14,12.42,13.05,12.37,12.76,323310,34.215614880261114,16.177900000000008,13.766500000000002
2015-08-17,12.7,13.074000000000002,12.65,12.82,256444,35.062512743742246,16.127900000000007,13.4905
2015-08-18,12.78,12.85,12.4101,12.57,145190,33.14766352918308,16.077600000000007,13.1975
2015-08-19,12.57,12.92,12.48,12.86,299551,37.417278036972554,16.030200000000008,12.918499999999998
2015-08-20,12.82,12.97,12.62,12.69,283059,35.967126380720345,15.981700000000007,12.673499999999997
2015-08-21,12.48,12.68,12.18,12.46,328019,34.0446806257556,15.931900000000008,12.654499999999995
2015-08-24,11.67,11.72,11.3,11.54,372244,27.673056382866434,15.873500000000005,12.551999999999996
2015-08-25,11.91,11.97,11.42,11.46,227584,27.196406750384014,15.814700000000007,12.434999999999997
2015-08-26,11.64,11.64,11.1996,11.4,277568,26.823243071059025,15.75050000000001,12.300999999999998
2015-08-27,11.47,11.84,11.3,11.63,232648,30.746021986605754,15.68940000000001,12.218999999999998
