timestamp,open,high,low,close,volume,rsi,sma5,ema5
2015-01-30,118.4,120.0,116.85,117.16,83745461,44.04358037901107,114.72200000000001,114.72200000000001
2015-02-02,118.05,119.17,116.08,118.63,62739100,46.49245631386118,115.828,116.02466666666668
2015-02-03,118.5,119.09,117.61,118.65,51915749,46.52674499890916,117.72999999999999,116.89977777777779
2015-02-04,118.5,120.51,118.309,119.56,70149743,48.15469597089456,118.58,117.78651851851852
2015-02-05,120.02,120.23,119.25,119.94,42246245,48.854917518954196,118.78800000000001,118.50434567901235
2015-02-06,120.02,120.25,118.45,118.93,43706567,47.03654072413739,119.14200000000001,118.6462304526749
2015-02-09,118.55,119.84,118.43,119.72,38889797,48.64657603964172,119.36000000000001,119.0041536351166
2015-02-10,120.17,122.15,120.16,122.02,62008506,53.11522578846902,120.03400000000002,120.0094357567444
2015-02-11,122.77,124.92,122.5,124.88,73561797,58.008415499900025,121.098,121.63295717116293
2015-02-12,126.06,127.48,125.57,126.46,74474466,60.46332829128516,122.402,123.24197144744195
2015-02-13,127.28,127.28,125.65,127.08,54272219,61.41655048397837,124.032,124.52131429829464
2015-02-17,127.49,128.88,126.92,127.83,63152405,62.591498382106714,125.654,125.62420953219643
2015-02-18,127.625,128.78,127.45,128.715,44891737,63.98518594199362,126.99300000000001,126.65447302146428
2015-02-19,128.48,129.03,128.33,128.45,37362381,63.22560269944577,127.70700000000002,127.25298201430952
2015-02-20,128.62,129.5,128.05,129.495,48948419,64.99056773607936,128.31400000000002,128.000321342873
2015-02-23,130.02,133.0,129.66,133.0,70974110,70.16307410105813,129.49800000000002,129.66688089524868
2015-02-24,132.94,133.6,131.17,132.17,69228130,67.61544257649625,130.366,130.50125393016577
2015-02-25,131.56,131.6,128.15,128.79,74711746,58.32740522239411,130.381,129.93083595344385
2015-02-26,128.785,130.87,126.61,130.415,91287529,61.09441894282385,130.77399999999997,130.09222396896257
2015-02-27,130.0,130.57,128.24,128.46,62014847,56.25493065558767,130.56699999999998,129.54814931264173
2015-03-02,129.25,130.28,128.3,129.09,48096663,57.425313203599394,129.785,129.39543287509449
2015-03-03,128.96,129.52,128.09,129.36,37816283,57.94462493853943,129.223,129.38362191672965
2015-03-04,129.1,129.56,128.32,128.54,31666340,55.72164582669554,129.173,129.1024146111531
2015-03-05,128.58,128.75,125.76,126.41,56517146,50.32126698130248,128.372,128.20494307410206
2015-03-06,128.4,129.37,126.26,126.6,72842060,50.77951945936217,128.00000000000003,127.66996204940138
2015-03-09,127.96,129.57,125.06,127.14,88528487,52.131011231968394,127.61000000000001,127.49330803293425
2015-03-10,126.41,127.22,123.8,124.51,68856582,45.56838241609781,126.64000000000001,126.49887202195617
2015-03-11,124.75,124.77,122.11,122.24,68938974,40.7948308288055,125.38000000000002,125.07924801463744
2015-03-12,122.31,124.9,121.63,124.45,48362719,46.65393838072129,124.98800000000003,124.86949867642497
2015-03-13,124.4,125.3951,122.58,123.59,51827283,44.79612062145159,124.38600000000004,124.44299911761665
2015-03-16,123.88,124.95,122.87,124.95,35874300,48.302126339251075,123.94800000000005,124.61199941174443
2015-03-17,125.9,127.32,125.65,127.04,51023104,53.21915915248889,124.45400000000004,125.42133294116296
2015-03-18,127.0,129.16,126.37,128.47,65270945,56.28292754717309,125.70000000000005,126.43755529410863
